,COCLSACT
822,NEVER USED COCAINE
823,NEVER USED COCAINE
824,NEVER USED COCAINE
825,NEVER USED COCAINE
826,NEVER USED COCAINE
827,NEVER USED COCAINE
828,DID NOT USE COCAINE IN THE PAST 12 MOS
829,NEVER USED COCAINE
830,NEVER USED COCAINE
831,NEVER USED COCAINE
832,No
833,NEVER USED COCAINE
834,NEVER USED COCAINE
835,NEVER USED COCAINE
836,NEVER USED COCAINE
837,NEVER USED COCAINE
838,NEVER USED COCAINE
839,NEVER USED COCAINE
840,NEVER USED COCAINE
841,NEVER USED COCAINE
842,NEVER USED COCAINE
843,NEVER USED COCAINE
844,DID NOT USE COCAINE IN THE PAST 12 MOS
845,NEVER USED COCAINE
846,DID NOT USE COCAINE IN THE PAST 12 MOS
847,DID NOT USE COCAINE IN THE PAST 12 MOS
848,NEVER USED COCAINE
849,NEVER USED COCAINE
850,DID NOT USE COCAINE IN THE PAST 12 MOS
851,NEVER USED COCAINE
852,NEVER USED COCAINE
853,NEVER USED COCAINE
854,NEVER USED COCAINE
855,No
856,NEVER USED COCAINE
857,DID NOT USE COCAINE IN THE PAST 12 MOS
858,NEVER USED COCAINE
859,NEVER USED COCAINE
860,NEVER USED COCAINE
861,NEVER USED COCAINE
862,NEVER USED COCAINE
863,DID NOT USE COCAINE IN THE PAST 12 MOS
864,NEVER USED COCAINE
865,NEVER USED COCAINE
866,NEVER USED COCAINE
867,DID NOT USE COCAINE IN THE PAST 12 MOS
868,DID NOT USE COCAINE IN THE PAST 12 MOS
869,NEVER USED COCAINE
870,NEVER USED COCAINE
871,NEVER USED COCAINE
872,NEVER USED COCAINE
873,NEVER USED COCAINE
874,NEVER USED COCAINE
875,DID NOT USE COCAINE IN THE PAST 12 MOS
876,NEVER USED COCAINE
877,NEVER USED COCAINE
878,DID NOT USE COCAINE IN THE PAST 12 MOS
879,NEVER USED COCAINE
880,NEVER USED COCAINE
881,NEVER USED COCAINE
882,NEVER USED COCAINE
883,NEVER USED COCAINE
884,NEVER USED COCAINE
885,NEVER USED COCAINE
886,NEVER USED COCAINE
887,NEVER USED COCAINE
888,NEVER USED COCAINE
889,NEVER USED COCAINE
890,NEVER USED COCAINE
891,NEVER USED COCAINE
892,NEVER USED COCAINE
893,NEVER USED COCAINE
894,NEVER USED COCAINE
895,NEVER USED COCAINE
896,NEVER USED COCAINE
897,NEVER USED COCAINE
898,DID NOT USE COCAINE IN THE PAST 12 MOS
899,NEVER USED COCAINE
900,DID NOT USE COCAINE IN THE PAST 12 MOS
