,COCYR
498,"Did not use in the past year (IRCOCRC = 3,9)"
499,"Did not use in the past year (IRCOCRC = 3,9)"
500,"Did not use in the past year (IRCOCRC = 3,9)"
501,"Did not use in the past year (IRCOCRC = 3,9)"
502,"Did not use in the past year (IRCOCRC = 3,9)"
503,"Did not use in the past year (IRCOCRC = 3,9)"
504,"Did not use in the past year (IRCOCRC = 3,9)"
505,"Did not use in the past year (IRCOCRC = 3,9)"
506,"Did not use in the past year (IRCOCRC = 3,9)"
507,"Did not use in the past year (IRCOCRC = 3,9)"
508,"Did not use in the past year (IRCOCRC = 3,9)"
509,"Did not use in the past year (IRCOCRC = 3,9)"
510,"Did not use in the past year (IRCOCRC = 3,9)"
511,"Did not use in the past year (IRCOCRC = 3,9)"
512,"Did not use in the past year (IRCOCRC = 3,9)"
513,"Did not use in the past year (IRCOCRC = 3,9)"
514,"Did not use in the past year (IRCOCRC = 3,9)"
515,"Did not use in the past year (IRCOCRC = 3,9)"
516,"Did not use in the past year (IRCOCRC = 3,9)"
